PRODUCT_CODE;PRODUCT_GRAND_FAMILY_CODE;PRODUCT_GRAND_FAMILY_NAME;PRODUCT_FAMILY_CODE;PRODUCT_FAMILY_NAME
732;GF05;Frais de services;FA03;Abonnements
733;GF04;Produits Hors Station;FA05;Tr Autres tiers - Ristournes et commissions 
734;GF04;Produits Hors Station;FA05;Tr Autres tiers - Ristournes et commissions 
735;GF07;Caution et Garantie;FA15;CA Tr Autres tiers - Caution/Garantie
738;GF04;Produits Hors Station;FA17;Tr Parkings
739;GF04;Produits Hors Station;FA17;Tr Parkings
741;GF05;Frais de services;FA03;Abonnements
742;GF07;Caution et Garantie;FA15;CA Tr Autres tiers - Caution/Garantie
743;GF05;Frais de services;FA03;Abonnements
744;GF05;Frais de services;FA03;Abonnements
745;GF04;Produits Hors Station;FA16;Tr Péages
746;GF05;Frais de services;FA03;Abonnements
750;GF05;Frais de services;FA03;Abonnements
760;GF04;Produits Hors Station;FA18;Tr Autres tiers - CA C.H.R.
761;GF04;Produits Hors Station;FA18;Tr Autres tiers - CA C.H.R.
762;GF04;Produits Hors Station;FA18;Tr Autres tiers - CA C.H.R.
763;GF04;Produits Hors Station;FA18;Tr Autres tiers - CA C.H.R.
764;GF04;Produits Hors Station;FA18;Tr Autres tiers - CA C.H.R.
765;GF04;Produits Hors Station;FA18;Tr Autres tiers - CA C.H.R.
766;GF04;Produits Hors Station;FA18;Tr Autres tiers - CA C.H.R.
767;GF04;Produits Hors Station;FA18;Tr Autres tiers - CA C.H.R.
768;GF07;Caution et Garantie;FA15;CA Tr Autres tiers - Caution/Garantie
769;GF07;Caution et Garantie;FA15;CA Tr Autres tiers - Caution/Garantie
770;GF07;Caution et Garantie;FA15;CA Tr Autres tiers - Caution/Garantie
771;GF07;Caution et Garantie;FA15;CA Tr Autres tiers - Caution/Garantie
773;GF07;Caution et Garantie;FA15;CA Tr Autres tiers - Caution/Garantie
774;GF04;Produits Hors Station;FA16;Tr Péages
775;GF04;Produits Hors Station;FA16;Tr Péages
776;GF07;Caution et Garantie;FA15;CA Tr Autres tiers - Caution/Garantie
777;GF07;Caution et Garantie;FA15;CA Tr Autres tiers - Caution/Garantie
778;GF04;Produits Hors Station;FA16;Tr Péages
781;GF04;Produits Hors Station;FA16;Tr Péages
782;GF05;Frais de services;FA03;Abonnements
783;GF04;Produits Hors Station;FA16;Tr Péages
784;GF04;Produits Hors Station;FA04;Tr Autres tiers - Services Assistance 24/24
785;GF04;Produits Hors Station;FA04;Tr Autres tiers - Services Assistance 24/24
786;GF05;Frais de services;FA03;Abonnements
787;GF04;Produits Hors Station;FA16;Tr Péages
788;GF04;Produits Hors Station;FA04;Tr Autres tiers - Services Assistance 24/24
791;GF04;Produits Hors Station;FA16;Tr Péages
792;GF04;Produits Hors Station;FA16;Tr Péages
793;GF04;Produits Hors Station;FA16;Tr Péages
794;GF04;Produits Hors Station;FA04;Tr Autres tiers - Services Assistance 24/24
795;GF04;Produits Hors Station;FA16;Tr Péages
796;GF06;Frais en clientèle;FA06;Remboursement divers
797;GF06;Frais en clientèle;FA06;Remboursement divers
798;GF06;Frais en clientèle;FA06;Remboursement divers
799;GF06;Frais en clientèle;FA06;Remboursement divers
800;GF04;Produits Hors Station;FA17;Tr Parkings
801;GF04;Produits Hors Station;FA16;Tr Péages
802;GF04;Produits Hors Station;FA16;Tr Péages
807;GF04;Produits Hors Station;FA16;Tr Péages
808;GF04;Produits Hors Station;FA16;Tr Péages
809;GF04;Produits Hors Station;FA16;Tr Péages
810;GF04;Produits Hors Station;FA16;Tr Péages
811;GF04;Produits Hors Station;FA16;Tr Péages
812;GF04;Produits Hors Station;FA17;Tr Parkings
817;GF04;Produits Hors Station;FA17;Tr Parkings
818;GF04;Produits Hors Station;FA16;Tr Péages
819;GF04;Produits Hors Station;FA17;Tr Parkings
820;GF04;Produits Hors Station;FA16;Tr Péages
821;GF04;Produits Hors Station;FA16;Tr Péages
822;GF04;Produits Hors Station;FA16;Tr Péages
827;GF04;Produits Hors Station;FA16;Tr Péages
828;GF04;Produits Hors Station;FA16;Tr Péages
829;GF04;Produits Hors Station;FA16;Tr Péages
830;GF04;Produits Hors Station;FA16;Tr Péages
831;GF04;Produits Hors Station;FA16;Tr Péages
832;GF04;Produits Hors Station;FA17;Tr Parkings
837;GF04;Produits Hors Station;FA16;Tr Péages
838;GF04;Produits Hors Station;FA16;Tr Péages
839;GF04;Produits Hors Station;FA16;Tr Péages
840;GF04;Produits Hors Station;FA16;Tr Péages
841;GF04;Produits Hors Station;FA16;Tr Péages
847;GF04;Produits Hors Station;FA16;Tr Péages
848;GF04;Produits Hors Station;FA16;Tr Péages
849;GF04;Produits Hors Station;FA16;Tr Péages
850;GF04;Produits Hors Station;FA16;Tr Péages
851;GF04;Produits Hors Station;FA16;Tr Péages
857;GF04;Produits Hors Station;FA16;Tr Péages
858;GF04;Produits Hors Station;FA16;Tr Péages
859;GF04;Produits Hors Station;FA16;Tr Péages
860;GF04;Produits Hors Station;FA16;Tr Péages
861;GF04;Produits Hors Station;FA16;Tr Péages
867;GF04;Produits Hors Station;FA16;Tr Péages
868;GF04;Produits Hors Station;FA16;Tr Péages
1,00E+02;GF01;Produits stations carburants;FA01;Transactions stations carburants
01R1;GF01;Produits stations carburants;FA25;Ristournes et commissions carburants
01R2;GF01;Produits stations carburants;FA25;Ristournes et commissions carburants
01R3;GF01;Produits stations carburants;FA25;Ristournes et commissions carburants
101;GF01;Produits stations carburants;FA01;Transactions stations carburants
102;GF01;Produits stations carburants;FA01;Transactions stations carburants
103;GF01;Produits stations carburants;FA01;Transactions stations carburants
104;GF01;Produits stations carburants;FA01;Transactions stations carburants
105;GF01;Produits stations carburants;FA01;Transactions stations carburants
106;GF01;Produits stations carburants;FA01;Transactions stations carburants
107;GF01;Produits stations carburants;FA01;Transactions stations carburants
108;GF01;Produits stations carburants;FA01;Transactions stations carburants
109;GF01;Produits stations carburants;FA01;Transactions stations carburants
110;GF01;Produits stations carburants;FA01;Transactions stations carburants
111;GF01;Produits stations carburants;FA01;Transactions stations carburants
112;GF01;Produits stations carburants;FA01;Transactions stations carburants
113;GF01;Produits stations carburants;FA01;Transactions stations carburants
114;GF01;Produits stations carburants;FA01;Transactions stations carburants
115;GF01;Produits stations carburants;FA01;Transactions stations carburants
118;GF01;Produits stations carburants;FA01;Transactions stations carburants
119;GF01;Produits stations carburants;FA01;Transactions stations carburants
120;GF01;Produits stations carburants;FA01;Transactions stations carburants
121;GF01;Produits stations carburants;FA01;Transactions stations carburants
122;GF01;Produits stations carburants;FA01;Transactions stations carburants
123;GF01;Produits stations carburants;FA01;Transactions stations carburants
02A1;GF01;Produits stations carburants;FA25;Ristournes et commissions carburants
02A2;GF01;Produits stations carburants;FA25;Ristournes et commissions carburants
02A3;GF01;Produits stations carburants;FA25;Ristournes et commissions carburants
02C1;GF01;Produits stations carburants;FA25;Ristournes et commissions carburants
02C2;GF01;Produits stations carburants;FA25;Ristournes et commissions carburants
02C3;GF01;Produits stations carburants;FA25;Ristournes et commissions carburants
02R1;GF01;Produits stations carburants;FA25;Ristournes et commissions carburants
02R2;GF01;Produits stations carburants;FA25;Ristournes et commissions carburants
02R3;GF01;Produits stations carburants;FA25;Ristournes et commissions carburants
201;GF01;Produits stations carburants;FA01;Transactions stations carburants
202;GF01;Produits stations carburants;FA01;Transactions stations carburants
203;GF01;Produits stations carburants;FA01;Transactions stations carburants
204;GF01;Produits stations carburants;FA01;Transactions stations carburants
205;GF01;Produits stations carburants;FA01;Transactions stations carburants
206;GF01;Produits stations carburants;FA01;Transactions stations carburants
207;GF01;Produits stations carburants;FA01;Transactions stations carburants
208;GF01;Produits stations carburants;FA01;Transactions stations carburants
209;GF01;Produits stations carburants;FA01;Transactions stations carburants
